text length,abstract/ms,abstract/bytes,matrix/ms,matrix/bytes,tree/ms,tree/bytes,kmp/ms,kmp/bytes
242000,113.436,552,2.345,550432,116.44,79392,109.352,550432
243000,111.911,552,2.464,550432,102.326,79392,107.664,550432
244000,112.747,552,2.348,550432,104.034,79392,108.205,550432
245000,115.738,552,2.418,550432,105.067,79392,110.438,550432
246000,113.49,552,2.282,550432,105.825,79392,110.021,550432
247000,113.283,552,2.554,550432,101.807,79392,110.306,550432
248000,118.114,552,2.305,550432,108.086,79392,110.229,550432
249000,117.336,552,2.361,550432,106.755,79392,111.071,550432
250000,117.727,552,2.44,550432,109.008,79392,110.704,550432
251000,114.887,552,2.608,550432,104.777,79392,111.124,550432
252000,116.747,552,2.429,550432,106.659,79392,111.39,550432
253000,115.825,552,2.511,550432,104.88,79392,112.843,550432
254000,117.071,552,2.605,550432,107.398,79392,114.204,550432
255000,119.076,552,2.282,550432,107.422,79392,112.831,550432
256000,119.075,552,2.455,550432,108.186,79392,113.752,550432
257000,118.978,552,2.623,550432,105.167,79392,113.829,550432
258000,119.663,552,2.514,550432,109.551,79392,114.187,550432
259000,115.931,552,2.504,550432,106.191,79392,114.649,550432
260000,119.606,552,2.488,550432,107.804,79392,114.753,550432
261000,117.575,552,2.553,550432,108.5,79392,115.065,550432
262000,120.24,552,2.476,550432,111.069,79392,115.556,550432
263000,124.287,552,2.852,550432,110.521,79392,116.83,550432
264000,120.919,552,2.482,550432,109.875,79392,117.03,550432
265000,124.829,552,2.595,550432,108.469,79392,117.271,550432
266000,120.584,552,2.699,550432,108.486,79392,117.084,550432
267000,120.173,552,2.559,550432,110.776,79392,117.848,550432
268000,121.922,552,2.591,550432,111.087,79392,117.604,550432
269000,124.383,552,2.513,550432,111.26,79392,118.082,550432
270000,123.914,552,2.637,550432,113.877,79392,119.757,550432
271000,122.82,552,2.637,550432,111.46,79392,119.419,550432
272000,123.972,552,2.588,550432,112.441,79392,119.86,550432
273000,123.851,552,2.736,550432,114.264,79392,120.618,550432
274000,123.684,552,2.718,550432,112.488,79392,120,550432
275000,120.525,552,2.945,550432,108.141,79392,121.361,550432
276000,124.353,552,2.831,550432,111.797,79392,120.7,550432
277000,127.392,552,2.583,550432,113.763,79392,121.485,550432
278000,126.04,552,2.556,550432,115.513,79392,122.111,550432
279000,126.416,552,2.782,550432,115.555,79392,122.074,550432
280000,127.104,552,2.646,550432,114.144,79392,122.358,550432
281000,125.583,552,2.925,550432,112.237,79392,122.65,550432
282000,127.039,552,2.728,550432,114.044,79392,123.13,550432
283000,125.156,552,2.847,550432,112.329,79392,123.42,550432
284000,129.339,552,2.636,550432,115.216,79392,124.113,550432
285000,127.604,552,2.68,550432,113.304,79392,124.451,550432
286000,125.397,552,2.863,550432,116.802,79392,128.451,550432
287000,130.668,552,2.713,550432,116.196,79392,125.314,550432
288000,129.366,552,2.78,550432,117.211,79392,125.552,550432
289000,129.404,552,2.933,550432,115.618,79392,126.319,550432
290000,132.576,552,2.629,550432,119.077,79392,126.577,550432
291000,128.416,552,2.773,550432,114.866,79392,128.988,550432
292000,130.988,552,2.74,550432,117.964,79392,127.438,550432
293000,130.014,552,2.864,550432,115.798,79392,127.772,550432
294000,131.94,552,2.791,550432,119.561,79392,128.269,550432
295000,128.993,552,2.741,550432,116.046,79392,128.475,550432
296000,134.112,552,2.615,550432,121.407,79392,130.942,550432
297000,132.184,552,2.948,550432,118.389,79392,128.942,550432
298000,132.324,552,2.763,550432,119.637,79392,129.473,550432
299000,130.921,552,2.758,550432,119.502,79392,130.193,550432
300000,133.518,552,2.939,550432,119.362,79392,130.157,550432
301000,133.341,552,2.896,550432,118.127,79392,132.123,550432
302000,132.609,552,2.931,550432,118.787,79392,130.748,550432
303000,133.213,552,2.844,550432,120.475,79392,131.53,550432
304000,132.571,552,2.899,550432,120.048,79392,131.865,550432
305000,133.027,552,2.94,550432,120.245,79392,131.743,550432
306000,134.697,552,2.97,550432,121.876,79392,132.933,550432
307000,135.749,552,2.908,550432,122.214,79392,132.425,550432
308000,133.803,552,2.887,550432,120.97,79392,132.886,550432
309000,136.774,552,2.847,550432,123.217,79392,133.643,550432
310000,135.987,552,2.902,550432,123.852,79392,133.573,550432
311000,138.535,552,2.785,550432,123.288,79392,134.707,550432
312000,136.654,552,2.859,550432,123.835,79392,134.415,550432
313000,137.602,552,2.867,550432,123.874,79392,134.902,550432
314000,139.055,552,2.928,550432,124.619,79392,135.92,550432
315000,139.1,552,2.786,550432,123.37,79392,136.274,550432
316000,137.956,552,3.052,550432,126.05,79392,136.654,550432
317000,140.648,552,2.894,550432,126.827,79392,136.513,550432
318000,139.59,552,2.899,550432,126.112,79392,136.665,550432
319000,139.682,552,2.846,550432,124.067,79392,137.102,550432
320000,143.655,552,2.791,550432,126.952,79392,137.981,550432
321000,140.133,552,3.034,550432,124.493,79392,138.777,550432
322000,140.432,552,2.921,550432,127.445,79392,139.218,550432
323000,141.078,552,2.961,550432,126.344,79392,139.133,550432
324000,139.765,552,3.167,550432,125.342,79392,139.151,550432
325000,142.232,552,2.897,550432,126.086,79392,139.664,550432
326000,143.027,552,3.037,550432,128.121,79392,140.016,550432
327000,138.904,552,3.127,550432,123.731,79392,140.422,550432
328000,141.44,552,3.063,550432,128.89,79392,140.828,550432
329000,141.642,552,3.185,550432,125.2,79392,141.176,550432
330000,141.762,552,3.11,550432,128.675,79392,142.645,550432
331000,143.964,552,2.964,550432,130.172,79392,141.934,550432
332000,141.807,552,3.171,550432,126.316,79392,151.347,550432
333000,149.243,552,2.884,550432,131.436,79392,142.832,550432
334000,144.084,552,3.063,550432,129.821,79392,143.207,550432
335000,143.873,552,3.174,550432,130.913,79392,143.442,550432
336000,145.393,552,3.097,550432,127.792,79392,143.956,550432
337000,144.023,552,3.101,550432,127.428,79392,144.461,550432
338000,144.213,552,3.143,550432,132.359,79392,144.768,550432
339000,147.874,552,3.157,550432,131.085,79392,145.968,550432
340000,145.565,552,3.232,550432,130.819,79392,145.588,550432
341000,151.109,552,3.057,550432,133.741,79392,146.182,550432
342000,149.661,552,3.182,550432,131.859,79392,146.16,550432
343000,146.877,552,3.25,550432,129.359,79392,146.923,550432
344000,148.005,552,3.113,550432,134.01,79392,148.726,550432
345000,147.232,552,3.134,550432,130.221,79392,147.597,550432
346000,149.685,552,2.902,550432,135.432,79392,148.766,550432
347000,148.273,552,3.056,550432,132.694,79392,148,550432
348000,150.038,552,3.113,550432,133.566,79392,149.45,550432
349000,147.946,552,3.251,550432,131.688,79392,149.083,550432
350000,149.739,552,3.196,550432,133.979,79392,149.485,550432
351000,151.666,552,3.16,550432,133.083,79392,150.063,550432
352000,145.817,552,3.304,550432,133.529,79392,150.267,550432
353000,149.516,552,3.217,550432,134.666,79392,150.447,550432
354000,153.393,552,3.122,550432,134.781,79392,150.852,550432
355000,148.437,552,3.587,550432,131.008,79392,153.175,550432
356000,149.499,552,3.491,550432,132.374,79392,151.714,550432
357000,157.714,552,3.1,550432,138.28,79392,153.272,550432
358000,152.998,552,3.281,550432,134.664,79392,153.082,550432
359000,151.417,552,3.403,550432,135.559,79392,153.296,550432
360000,156.617,552,3.068,550432,139.951,79392,155.306,550432
361000,149.638,552,3.401,550432,134.161,79392,153.709,550432
362000,154.663,552,3.242,550432,136.414,79392,154.091,550432
363000,152.658,552,3.424,550432,135.132,79392,154.914,550432
364000,156.988,552,3.151,550432,139.952,79392,154.855,550432
365000,155.749,552,3.243,550432,138.881,79392,155.23,550432
366000,154.207,552,3.504,550432,138.786,79392,156.969,550432
367000,157.307,552,3.315,550432,137.86,79392,156.072,550432
368000,155.726,552,3.378,550432,140.421,79392,157.12,550432
369000,153.997,552,3.468,550432,135.924,79392,156.863,550432
370000,155.621,552,3.316,550432,138.96,79392,158.33,550432
371000,158.127,552,3.387,550432,137.959,79392,157.292,550432
372000,162.211,552,3.052,550432,145.439,79392,157.782,550432
373000,156.27,552,3.591,550432,136.303,79392,158.732,550432
374000,156.917,552,3.34,550432,138.527,79392,159.44,550432
375000,158.159,552,3.258,550432,142.107,79392,158.9,550432
376000,159.366,552,3.3,550432,140.709,79392,159.158,550432
377000,168.084,552,3.658,550432,137.439,79392,160.04,550432
378000,155.392,552,3.513,550432,140.169,79392,160.87,550432
379000,160.266,552,3.686,550432,140.744,79392,160.77,550432
380000,159.821,552,3.378,550432,140.505,79392,160.892,550432
381000,162.186,552,3.406,550432,141.039,79392,162.694,550432
382000,157.844,552,3.721,550432,139.508,79392,161.957,550432
383000,162.327,552,3.632,550432,140.067,79392,162.365,550432
384000,160.806,552,3.46,550432,142.512,79392,162.572,550432
385000,160.302,552,3.525,550432,141.026,79392,162.842,550432
386000,156.855,552,3.873,550432,140.17,79392,163.4,550432
387000,158.736,552,3.646,550432,144.245,79392,164.195,550432
388000,161.236,552,3.638,550432,145.087,79392,164.076,550432
389000,166.211,552,3.36,550432,146.878,79392,165.625,550432
390000,160.557,552,3.569,550432,143.076,79392,164.83,550432
391000,161.291,552,3.646,550432,143.365,79392,165.481,550432
392000,165.293,552,3.416,550432,147.965,79392,165.833,550432
393000,162.593,552,3.774,550432,145.293,79392,166.396,550432
394000,161.529,552,3.788,550432,143.1,79392,166.654,550432
395000,164.812,552,3.459,550432,145.504,79392,167.476,550432
396000,168.051,552,3.447,550432,147.793,79392,167.646,550432
397000,166.214,552,3.577,550432,146.033,79392,168.967,550432
398000,166.889,552,3.585,550432,146.958,79392,168.021,550432
399000,165.724,552,3.607,550432,148.24,79392,169.786,550432
400000,167.697,552,3.487,550432,148.082,79392,168.734,550432
401000,165.915,552,3.568,550432,147.177,79392,169.354,550432
402000,168.635,552,3.771,550432,149.527,79392,169.855,550432
403000,168.552,552,3.702,550432,147.601,79392,170.241,550432
404000,169.223,552,3.596,550432,147.951,79392,170.388,550432
405000,167.76,552,3.672,550432,147.882,79392,170.799,550432
406000,168.184,552,3.628,550432,148.961,79392,171.183,550432
407000,169.314,552,3.771,550432,146.984,79392,173.055,550432
408000,168.869,552,3.764,550432,150.513,79392,171.816,550432
409000,165.038,552,4.004,550432,146.525,79392,173.474,550432
410000,169.016,552,3.632,550432,149.941,79392,172.668,550432
411000,175.247,552,3.474,550432,152.301,79392,173.11,550432
412000,167.863,552,3.732,550432,149.229,79392,173.527,550432
413000,171.384,552,3.721,550432,151.023,79392,173.863,550432
414000,168.456,552,3.806,550432,151.572,79392,174.461,550432
415000,173.125,552,3.729,550432,153.352,79392,175.629,550432
416000,169.223,552,3.878,550432,150.08,79392,174.845,550432
417000,171.606,552,3.814,550432,153.215,79392,175.658,550432
418000,173.518,552,3.721,550432,152.861,79392,175.9,550432
419000,174.684,552,3.908,550432,151.988,79392,176.303,550432
420000,169.193,552,4.079,550432,150.652,79392,176.786,550432
421000,174.845,552,3.947,550432,152.461,79392,178.707,550432
422000,177.293,552,3.803,550432,155.422,79392,177.333,550432
423000,177.336,552,3.859,550432,154.426,79392,178.015,550432
424000,173.126,552,3.725,550432,153.396,79392,186.908,550432
425000,169.651,552,4.174,550432,147.574,79392,179.419,550432
426000,175.828,552,3.632,550432,155.583,79392,181.092,550432
427000,177.816,552,3.756,550432,154.363,79392,179.307,550432
428000,177.324,552,3.68,550432,154.657,79392,180.647,550432
429000,176.352,552,3.844,550432,154.421,79392,179.698,550432
430000,175.408,552,3.893,550432,155.475,79392,180.599,550432
431000,174.984,552,3.946,550432,153.693,79392,181.049,550432
432000,178.437,552,3.781,550432,158.097,79392,181.661,550432
433000,178.05,552,3.687,550432,155.822,79392,182.04,550432
434000,174.265,552,4.269,550432,155.707,79392,183.189,550432
435000,178.856,552,3.771,550432,157.607,79392,182.331,550432
436000,181.048,552,4.167,550432,158.94,79392,183.317,550432
437000,177.86,552,3.88,550432,154.351,79392,183.503,550432
438000,180.942,552,4.061,550432,158.673,79392,184.024,550432
439000,174.325,552,4.186,550432,153.074,79392,184.703,550432
440000,176.39,552,4.279,550432,155.577,79392,185.632,550432
441000,178.66,552,4.21,550432,156.982,79392,187.91,550432
442000,178.674,552,3.969,550432,158.718,79392,187.446,550432
443000,181.087,552,3.979,550432,156.088,79392,185.836,550432
444000,180.235,552,4.045,550432,159.005,79392,186.719,550432
445000,183.413,552,4.115,550432,161.792,79392,186.563,550432
446000,179.59,552,4.098,550432,159.124,79392,186.995,550432
447000,186.313,552,3.865,550432,162.368,79392,187.352,550432
448000,186.75,552,3.98,550432,161.512,79392,187.517,550432
449000,186.206,552,3.932,550432,163.05,79392,187.791,550432
450000,181.07,552,4.03,550432,160.056,79392,189.101,550432
451000,179.344,552,4.336,550432,157.521,79392,188.937,550432
452000,182.527,552,4.071,550432,160.331,79392,189.999,550432
453000,183.784,552,4.082,550432,162.215,79392,189.073,550432
454000,184.246,552,4.123,550432,163.63,79392,190.602,550432
455000,180.856,552,4.257,550432,157.823,79392,190.078,550432
